,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
15,San Diego State University,Marriage And Family Therapy,MS,F10,Interview,E-mail,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,I had to email them after I saw on gradcafe.com that SDSU had sent the interview notifications already (I hadn't received anything). I just got the email today!! WOOOHOOO. Round 2.
16,"University of Texas, Austin (UT Austin)",Information Studies,MS,,Accepted,Postal Service,"(16, 2, 2010)",1266307200,,,,,,,American,"(2, 3, 2010)",1267516800,
17,Virginia Commonwealth University,Neuroscience,PhD,F10,Accepted,E-mail,"(2, 3, 2010)",1267516800,,,,,,,International with US Degree,"(2, 3, 2010)",1267516800,Got accepted into their brand new neuroscience program
18,University Of Western Ontario (UWO),Philosophy,PhD,F10,Accepted,E-mail,"(2, 3, 2010)",1267516800,,,,,,,International with US Degree,"(2, 3, 2010)",1267516800,
19,"University Of North Carolina, Chapel Hill (UNC)",School Of Social Work,MS,F10,Accepted,Postal Service,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,
20,Brown University,Sociology,PhD,F10,Rejected,Phone,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,
21,Johns Hopkins University (JHU),Sociology,PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,
22,University Of Michigan,Economics,PhD,F10,Accepted,Website,"(2, 3, 2010)",1267516800,,,,,,,International with US Degree,"(2, 3, 2010)",1267516800,Just checked the website.....soooooo excited!
23,Columbia University,English And Comp Lit,PhD,F10,Accepted,E-mail,"(2, 3, 2010)",1267516800,,,,,,,International,"(2, 3, 2010)",1267516800,"emails from head of grad/POI. funding not great (only 2  years of summer funding, 23,000 for school year which isnt much for ny). still excited, esp as is my first admit!applied to english not complit"
24,Princeton University,Art History,PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,
25,Princeton University,Art History,PhD,F10,Accepted,E-mail,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,So relieved/excited
26,Northeastern University,School Psychology,Other,F10,Accepted,Postal Service,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,MA/CAGS Program
27,"University Of California, Santa Barbara (UCSB)",Applied Probability And Statistics,PhD,F10,Interview,E-mail,"(2, 3, 2010)",1267516800,,,,,,840.0,International with US Degree,"(2, 3, 2010)",1267516800,
28,"University Of California, San Diego (UCSD)",Materials Science & Engineering,PhD,F10,Rejected,E-mail,"(8, 2, 2010)",1265616000,,,,,,,American,"(2, 3, 2010)",1267516800,
29,University Of Pennsylvania (UPenn),Anthropology,PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,
30,UT Southwestern,DBS,PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,,,,,,,International with US Degree,"(2, 3, 2010)",1267516800,
31,"University Of California, Santa Barbara (UCSB)",English,PhD,F10,Accepted,Phone,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,
32,James Madision University,Speech-Language Pathology,MS,F10,Accepted,E-mail,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,"accepted via email, formal letter on its way."
33,Fordham University,English,PhD,F10,Wait listed,E-mail,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,
34,"Columbia University, Teachers College",Psychology In Education: Personality And Psychopathology Track,MS,F10,Accepted,Website,"(2, 3, 2010)",1267516800,,,,,,,,"(2, 3, 2010)",1267516800,
35,Northeastern University,Speech-Language Pathology,MS,F10,Accepted,Postal Service,"(23, 2, 2010)",1266912000,,,,,,,American,"(2, 3, 2010)",1267516800,
36,Ohio University (OU),Experimental/Health Psychology,PhD,F10,Accepted,E-mail,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,
37,Princeton University,Art History,PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,3.77,710.0,680.0,4.5,False,,American,"(2, 3, 2010)",1267516800,
38,University Of Pennsylvania (UPenn),Education,PhD,F10,Rejected,Postal Service,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,
39,"University Of California, Davis (UCD)",Pharmacology And Toxicology,PhD,F10,Wait listed,E-mail,"(11, 2, 2010)",1265875200,,,,,,,American,"(2, 3, 2010)",1267516800,"@ Poster below:
I personally havent heard of interviews going out. I did call and ask Judy Erwin about # of applicants vs. spots and its 93 applicants to 12 spots.
Also got an email about 3/3/2010 - just the graduate division officially telling me that I am WLed."
40,"University Of North Carolina, Chapel Hill (UNC)",Biostatistics,PhD,F10,Accepted,E-mail,"(22, 2, 2010)",1266825600,,,,,,,International,"(2, 3, 2010)",1267516800,no mention of funding. tried to ask by email but no reply.
41,"University Of North Carolina, Chapel Hill (UNC)",English,PhD,F10,Rejected,Postal Service,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,
42,University Of Pennsylvania (UPenn),Anthropology (cultural),PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,
43,St. Louis University,Mathematics,PhD,F10,Accepted,E-mail,"(2, 3, 2010)",1267516800,,,,,,,International,"(2, 3, 2010)",1267516800,"TA-ship, health insurance and tuition waiver. 2 acceptances in the same day. =)"
44,Auburn University,Mathematics,MS,F10,Accepted,E-mail,"(2, 3, 2010)",1267516800,,,,,,,International,"(2, 3, 2010)",1267516800,Accepted with TA-ship and tuition waiver.
45,Emory University,Finance,PhD,F10,Rejected,E-mail,"(1, 3, 2010)",1267430400,3.36,690.0,800.0,5.5,False,,American,"(2, 3, 2010)",1267516800,perhaps no one was admitted then?
46,Princeton University,Art History,PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,"Having paid 100 dollars to apply, it would be nice to get an email in a single font from a sender other than ""autoreply"""
47,University Of Pennsylvania (UPenn),Economics,PhD,F10,Accepted,E-mail,"(2, 3, 2010)",1267516800,,,,,,,International,"(2, 3, 2010)",1267516800,22k fellowship
48,Northeastern University,Sociology,PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,,,,,,,International with US Degree,"(2, 3, 2010)",1267516800,Email stating admission decision available.
49,Princeton University,Art Histort,PhD,S10,Rejected,E-mail,"(2, 3, 2010)",1267516800,,,,,,,,"(2, 3, 2010)",1267516800,
50,"University Of Michigan, Ann Arbor",Economics,PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,Mary seems nice. Last name D. This was a long shot for me so I'm not too bummed.
51,Princeton University,Art History,PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,
52,University Of Texas Southwestern Medical Center Dallas,Biological & Biomedical Sciences Program,PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,,,,,,,International,"(2, 3, 2010)",1267516800,Five minutes ago!!
53,Fordham University,Philosophy,MS,F10,Accepted,E-mail,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,Happy to get in--but no funding.
54,"Indiana University, Bloomington (IUB)",Speech Language Pathology,MS,F10,Accepted,Postal Service,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,:)
55,University Of Notre Dame,Philosophy,PhD,F10,Wait listed,E-mail,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,Very nice e-mail from Patty Blanchette.
56,Princeton University,Art History,PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,,,,,,,International,"(2, 3, 2010)",1267516800,
57,University Of Pennsylvania (UPenn),Classics,PhD,F10,Rejected,E-mail,"(1, 3, 2010)",1267430400,,,,,,,American,"(2, 3, 2010)",1267516800,
58,"Indiana University, Bloomington (IUB)",Communication And Culture,MS,F10,Rejected,Postal Service,"(2, 3, 2010)",1267516800,,,,,,,,"(2, 3, 2010)",1267516800,
59,Princeton University,Art History,PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,
60,Harvard University,Psychology (Cognition,PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,"emailed POI to ask abt status, he shared the news...""it's obvious to everyone that your application is clearly above threshold""...it seems like a slightly more personalized form letter."
61,Princeton University,Art History,PhD,F10,Wait listed,E-mail,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,
62,Princeton University,Art History,PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,
63,Harvard University,History Of American Civilization,PhD,F10,Rejected,Postal Service,"(2, 3, 2010)",1267516800,,,,,,,International with US Degree,"(2, 3, 2010)",1267516800,duh.
64,Columbia University,Spanish,PhD,F10,Wait listed,E-mail,"(2, 3, 2010)",1267516800,,,,,,,International,"(2, 3, 2010)",1267516800,I sent an email asking waiting for a rejection.....
65,Princeton University,Art History,PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,
66,Princeton University,Art History,PhD,S10,Rejected,E-mail,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,well it was a great fit.  their loss.
67,University Of Pennsylvania (UPenn),Spanish,PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,,,,,,,International,"(2, 3, 2010)",1267516800,I sent an email asking the graduate secretary. I WANT TO BE DONE WITH THIS!
68,"University Of Michigan, Ann Arbor",Economics,PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,Last name starts with F
69,Princeton University,Art History,PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,
70,Princeton University,Art Historyinguistics,PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,
71,Princeton University,Art History,PhD,F10,Accepted,E-mail,"(2, 3, 2010)",1267516800,,,,,,,Other,"(2, 3, 2010)",1267516800,Soooo happy!!!
72,Purdue Universilty,Physics,PhD,F10,Wait listed,Website,"(2, 3, 2010)",1267516800,3.93,620.0,780.0,3.5,False,620.0,International with US Degree,"(2, 3, 2010)",1267516800,
73,Brown University,Sociology,PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,,,,,,,International with US Degree,"(2, 3, 2010)",1267516800,I am so sad. That's my second rejection. And it seems that Cornell also already rejected me. So disappointed about myself.
74,Lehigh University,English,MS,F10,Accepted,E-mail,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,applied to phd but i think they only take people w the MA. accepted to MA w nice TA-ship & tuition remission. very nice email.
75,Princeton University,Art History,PhD,F10,Accepted,E-mail,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,YES YES YES!!!!!!!!!!
76,University Of Maine Orono,History,PhD,F10,Accepted,Postal Service,"(27, 2, 2010)",1267257600,,,,,,,American,"(2, 3, 2010)",1267516800,
77,Texas A & M University (TAMU),Philosophy,PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,
78,University Of Washington,Biology,PhD,F10,Accepted,Phone,"(1, 3, 2010)",1267430400,,,,,,,American,"(2, 3, 2010)",1267516800,to poster below: I attended the interview session on 2/26
79,"University Of Illinois, Chicago (UIC)",Sociology,PhD,F10,Wait listed,E-mail,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,
80,Rice University,Finance,PhD,F10,Wait listed,E-mail,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,
81,University Of Pennsylvania (UPenn),Biological Anthropology,PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,3.82,690.0,520.0,,False,,American,"(2, 3, 2010)",1267516800,I knew I wasn't a good enough applicant but I really would have loved to work with Dr. Fernandez-Duque.
82,Northwestern University,Electrical & Computer Engineering(ECE)& Computer Engineering (ECE),MS,F10,Interview,E-mail,"(22, 2, 2010)",1266825600,,,,,,,American,"(2, 3, 2010)",1267516800,Professor contacted me and asked to meet me in person.
83,"University Of Michigan, Ann Arbor",Econonomics,PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,,,,,,,International with US Degree,"(2, 3, 2010)",1267516800,
84,Rice University,Finance,PhD,F10,Accepted,E-mail,"(2, 3, 2010)",1267516800,,,,,,,,"(2, 3, 2010)",1267516800,
85,University Of Oregon,Economics,PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,,,,,,,International with US Degree,"(2, 3, 2010)",1267516800,
86,Case Western Reserve University (CWRU),Art History,MS,F10,Accepted,E-mail,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,funding info tbd
87,"University Of Michigan, Ann Arbor",Economics,PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,,,,,,,International,"(2, 3, 2010)",1267516800,
88,"University Of Missouri, Columbia",Economics,PhD,F10,Accepted,E-mail,"(2, 3, 2010)",1267516800,,,,,,,International with US Degree,"(2, 3, 2010)",1267516800,
89,"University Of Michigan, Ann Arbor",Economics,PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,,,,,,,International,"(2, 3, 2010)",1267516800,"Email from Mary Braun

my 4th rejection"
90,University Of Kansas,Economics,PhD,F10,Accepted,E-mail,"(2, 3, 2010)",1267516800,,,,,,,International with US Degree,"(2, 3, 2010)",1267516800,
91,"University Of Nebraska, Lincoln",Cognitive Psychology,PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,,,,,,,International with US Degree,"(2, 3, 2010)",1267516800,
92,University Of Houston,Philosophy,MS,F10,,E-mail,"(2, 3, 2010)",1267516800,,750.0,800.0,4.5,False,,American,"(2, 3, 2010)",1267516800,Not offered a TA-ship in the initial round. Will hear something about possible acceptance before the end of April.
93,University Of Pennsylvania (UPenn),Economics,PhD,F10,Accepted,E-mail,"(2, 3, 2010)",1267516800,,,,,,,,"(2, 3, 2010)",1267516800,Full Fellowship
94,University Of Michigan,Economics,PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,,,,,,,International,"(2, 3, 2010)",1267516800,
95,University Of Delaware,Economics,PhD,F10,Accepted,E-mail,"(2, 3, 2010)",1267516800,3.75,550.0,760.0,3.5,False,,International with US Degree,"(2, 3, 2010)",1267516800,
96,Princeton University,Neuroscience,PhD,F10,Accepted,E-mail,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,
97,"Northwestern University, Kellogg School Of Management",Management & Organizations,PhD,F10,Rejected,Website,"(1, 3, 2010)",1267430400,,,,,,,,"(2, 3, 2010)",1267516800,
98,"The University Of Chicago, Booth School Of Business",Organizations & Markets,PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,,,,,,,,"(2, 3, 2010)",1267516800,
99,Vanderbilt University,Sociology,PhD,F10,Accepted,E-mail,"(2, 3, 2010)",1267516800,,,,,,,International with US Degree,"(2, 3, 2010)",1267516800,:) Glad to have made it. It was one of my top choices.
100,University Of Chicago,Philosophy,PhD,F10,Rejected,Postal Service,"(1, 3, 2010)",1267430400,,,,,,,International,"(2, 3, 2010)",1267516800,
101,Boston University,Gastronomy,MS,F10,Accepted,E-mail,"(16, 2, 2010)",1266307200,,,,,,,American,"(2, 3, 2010)",1267516800,
102,James Madision University,Speech Langauge Pathology,MS,F10,Wait listed,E-mail,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,
103,University Of Pennsylvania (UPenn),Anthropology (cultural),PhD,F10,Wait listed,Phone,"(2, 3, 2010)",1267516800,,,,,,,International,"(2, 3, 2010)",1267516800,I called to ask. It seems like the department has seperate waiting lists for each sub-field.
104,Brandeis University,Womens And Gender Studies/Sociology,MS,F10,Accepted,E-mail,"(25, 2, 2010)",1267084800,3.8,580.0,570.0,5.0,False,,American,"(2, 3, 2010)",1267516800,waiting on the official letter
105,University Of Michigan,Economics,PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,
106,Columbia University,English And Comparative Literature,PhD,F10,Accepted,E-mail,"(2, 3, 2010)",1267516800,,,,,,,,"(2, 3, 2010)",1267516800,"suck it, yale!"
107,James Madision University,Communication Sciences And Disorders,MS,F10,Wait listed,E-mail,"(2, 3, 2010)",1267516800,,,,,,,International with US Degree,"(2, 3, 2010)",1267516800,
108,Northeastern University,Sociology,MS,F10,Rejected,Website,"(2, 3, 2010)",1267516800,3.8,580.0,570.0,5.0,False,,American,"(2, 3, 2010)",1267516800,oh well.
109,San Diego State University,Aerospace Engineering,MS,F10,Accepted,E-mail,"(2, 3, 2010)",1267516800,,,,,,,International with US Degree,"(2, 3, 2010)",1267516800,"First acceptance..thanks Lord...waiting for Cornell, RPI and Penn State"
110,University Of Pennsylvania (UPenn),Clinical Psychology,PhD,F10,Accepted,E-mail,"(23, 2, 2010)",1266912000,,,,,,,American,"(2, 3, 2010)",1267516800,
111,Texas A&M University,Philosophy,PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,Scheisse! 0/5 This was my backup plan...it looks like I may be dealing with this crap again next year.
112,Kaplan University,Pharmacy Technician,MS,F10,Rejected,Website,"(2, 3, 2010)",1267516800,1.75,250.0,220.0,,False,,Other,"(2, 3, 2010)",1267516800,
113,University Of Central Florida (UCF),Counseling Psychology,MS,F10,Interview,E-mail,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,email for interview on 3/15
114,"University Of California, Santa Cruz (UCSC)",Sociology,PhD,F10,Rejected,E-mail,"(1, 3, 2010)",1267430400,,,,,,,American,"(2, 3, 2010)",1267516800,"Got into a few programs better than UCSC, so I'm kind of confused. Oh well, their loss."
115,Vanderbilt University (Peabody),Clinical Psychology,PhD,F10,Accepted,Phone,"(10, 2, 2010)",1265788800,,,,,,,American,"(2, 3, 2010)",1267516800,
116,University Of Pennsylvania,Anthropology,PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,recommendation letter from the head of the department who told me to apply in the first place...
117,University Of Rochester,Economics,PhD,F10,Wait listed,E-mail,"(2, 2, 2010)",1265097600,,,,,,,International,"(2, 3, 2010)",1267516800,guys please decline offer if you have a better acceptance so that we can be admitted:)
118,"University of Texas, Austin (UT Austin)",Art History,MS,F10,Rejected,Website,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,
119,"Columbia University, Teachers College",Applied Linguistics,MS,F10,Accepted,Website,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,checked my application page (saw that others had done so on this forum) and saw my status. absolutely thrilled.
120,University Of Pennsylvania,Anthropology (Archaeology),PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,
121,University Of Notre Dame,Philosophy,PhD,F10,Wait listed,E-mail,"(2, 3, 2010)",1267516800,,,,,,,International,"(2, 3, 2010)",1267516800,
122,"University Of California, San Diego (UCSD)",Mechanical & Aerospace Engineering,PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,3.52,330.0,800.0,3.0,False,,International,"(2, 3, 2010)",1267516800,
123,University Of California At Riverside (UCR),Computer Science,PhD,F10,Accepted,E-mail,"(27, 2, 2010)",1267257600,3.66,340.0,800.0,3.5,False,,International,"(2, 3, 2010)",1267516800,
124,University Of Pennsylvania (UPenn),Sociocultural Anthropology,PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,"""We received over 230 applications for 4 available PhD admissions plus master's positions."""
125,Kaplan University,Medical Claims Billing,PhD,F10,Accepted,Phone,"(2, 3, 2010)",1267516800,2.1,320.0,310.0,,False,,American,"(2, 3, 2010)",1267516800,I can't believe it!  I always wanted to get into an awesome school like Kaplan U!  They even offer financial aid!
126,University Of Pennsylvania,Anthropology,PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,3.5,610.0,660.0,5.5,False,,American,"(2, 3, 2010)",1267516800,"Expected it! I got into some Masters programs, since my undergrad major was not Anthro, and am looking forward to applying again once I'm more qualified! Congrats to those who got in!"
127,Northeastern University,Sociology,PhD,F10,Rejected,Website,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,got email saying to check website
128,University Of Massachusetts Amherst,English,PhD,F10,Interview,Phone,"(23, 2, 2010)",1266912000,,,,,,,American,"(2, 3, 2010)",1267516800,"I got TA interview, but have not heard a word from the department.  I notice no one else has posted much about offers - are they really waiting this long to notify people?"
129,University Of Pennsylvania,Anthropology,PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,,,,,,,International with US Degree,"(2, 3, 2010)",1267516800,
130,University Of Pennsylvania,Anthropology (cultural),PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,
131,University Of Pennsylvania (UPenn),Anthropology (cultural),PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,,,,,,,International,"(2, 3, 2010)",1267516800,I was expecting it anyway. Not that good either (for socioculture). But cong. to those accepted and cons. for those rejected.
132,"University Of Wisconsin, Madison",Computer Science,PhD,F10,,Phone,"(2, 3, 2010)",1267516800,,,,,,,International with US Degree,"(2, 3, 2010)",1267516800,I called them today and they said decisions will be out this week for CS PhD. Good luck everybody!
133,"University Of California, Davis (UCD)",Education,PhD,F10,Accepted,E-mail,"(2, 3, 2010)",1267516800,,,,,,,International with US Degree,"(2, 3, 2010)",1267516800,"Are there anyone who knows about their funding this year?
Are there anyone admitted AND funded in any form?"
134,"University Of Illinois, Urbana Champaign (UIUC)",Electrical And Computer Engineering (ECE),PhD,F10,Accepted,E-mail,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,3 year fellowship quarter time TA 25k/yr
135,University Of Pennsylvania,Anthropology,PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,,,,,,,,"(2, 3, 2010)",1267516800,
136,"University Of Wisconsin, Madison",Philosophy,PhD,F10,Rejected,Website,"(2, 3, 2010)",1267516800,3.86,720.0,710.0,6.0,False,,American,"(2, 3, 2010)",1267516800,
137,University Of Pennsylvania (UPenn),Anthropology (cultural),PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,,,,,,,International with US Degree,"(2, 3, 2010)",1267516800,
138,Cornell University,Anthropology (cultural),PhD,F10,Rejected,Postal Service,"(2, 3, 2010)",1267516800,,,,,,,International with US Degree,"(2, 3, 2010)",1267516800,
139,University Of Miami,Philosophy,PhD,F10,Rejected,Postal Service,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,
140,University Of Notre Dame,Philosophy,PhD,F10,Wait listed,E-mail,"(2, 3, 2010)",1267516800,3.91,720.0,800.0,6.0,False,,American,"(2, 3, 2010)",1267516800,
141,"Carnegie Mellon University (CMU), Heinz School",Public Policy And Management,PhD,F10,Accepted,E-mail,"(2, 3, 2010)",1267516800,,,,,,,International with US Degree,"(2, 3, 2010)",1267516800,
142,Princeton University,Philosophy,PhD,S10,Rejected,E-mail,"(2, 3, 2010)",1267516800,3.91,720.0,800.0,6.0,False,,American,"(2, 3, 2010)",1267516800,
143,University Of Chicago,Religion (Theology),PhD,F10,Accepted,E-mail,"(26, 2, 2010)",1267171200,3.7,690.0,690.0,5.0,False,,American,"(2, 3, 2010)",1267516800,
144,"University Of Illinois, Urbana Champaign (UIUC)",Library And Information Science,PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,,,,,,,International with US Degree,"(2, 3, 2010)",1267516800,
145,University Of Florida,Linguistics,PhD,F10,Accepted,E-mail,"(2, 3, 2010)",1267516800,3.9,670.0,720.0,4.5,False,,International,"(2, 3, 2010)",1267516800,"Admission without financial assistance. Doubtful that I'd be able to get those funds anywhere else, so..."
146,Rice University,Economics,PhD,F10,Wait listed,E-mail,"(2, 3, 2010)",1267516800,,,,,,,International with US Degree,"(2, 3, 2010)",1267516800,"Very high on the reserved list. Apparently, several people received the same email and they only accept from 6-10 people every year. Hopefully several people will decline their offers:("
147,Rice University,Economics,PhD,F10,Wait listed,E-mail,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,Ouch :(
